track_id,X,Y,Z
0,-2.21561,0.0717805,8.72826
1,-0.603968,2.88197,9.79633
2,-2.31251,0.27637,9.19161
4,-1.81857,0.274173,8.42043
6,-1.92351,-0.288488,8.49691
7,-0.590871,1.68345,8.86534
8,-0.424296,3.39455,9.58342
9,-0.535565,-0.110024,7.61732
10,-0.108884,2.96146,9.34327
11,-2.11438,-0.236563,9.16951
13,-0.905774,-0.407407,7.8098
14,-0.593382,2.19939,9.80794
15,-0.694976,0.885256,8.39796
16,-0.462251,2.51219,9.38847
17,-1.51239,-0.154053,8.15898
18,-0.298613,2.15352,9.02201
20,-1.31246,-0.592965,8.08399
21,-1.31831,0.336689,8.25701
23,-0.127899,3.87506,9.65261
25,0.322858,-0.705812,7.58433
26,-0.206376,0.757546,7.94405
28,0.88974,-0.464714,7.40897
29,-0.305256,1.23235,8.17671
30,-1.58227,-0.693736,8.51103
31,0.939057,-1.0349,7.49535
33,-0.526472,0.299152,7.96692
34,-0.911912,-0.890586,8.01311
37,-0.660438,1.18309,9.19821
38,-0.044137,-0.289041,7.573
40,-1.04504,-1.01456,8.50336
41,-1.95892,0.555638,8.88836
43,0.281202,2.1248,8.87208
44,-0.795249,1.14757,9.81432
46,-1.46939,0.622788,8.66686
47,0.0861745,-0.9267,8.00319
48,-0.412864,-0.692499,7.86769
49,0.512217,-0.146036,7.60805
53,-0.967053,-0.090235,8.11973
55,0.234984,1.26303,8.17559
59,0.100176,0.17471,7.86844
63,0.49259,-1.19642,7.68038
80,0.377334,0.690589,8.09394
82,-0.876115,0.386471,8.36133
90,0.178683,3.39309,9.62863
108,0.772119,0.121237,8.0395
114,-0.0670053,4.38055,9.91691
116,-0.412347,4.02063,10.2538
117,0.482844,1.59969,8.72056
120,0.616412,2.87083,9.30736
121,0.31712,3.99974,9.99367
126,0.690033,3.57341,9.80979
136,-0.506155,-1.06932,8.27578
148,0.686727,2.23161,9.30949
161,0.927699,1.22881,8.94382
173,1.18947,-0.273752,7.86162
187,0.601853,4.0724,10.515
188,1.23609,-0.926809,7.9252
193,0.466684,1.04139,8.63075
218,0.243734,4.57395,10.5196
230,0.60536,3.41798,10.3873
242,0.951171,0.634666,9.0894
