cloud_name,label
63_VID_20230322_105126.ply,63
100_VID_20230321_124952.ply,100
45_VID_20230322_124332.ply,45
47_VID_20230322_123332.ply,47
79_VID_20230321_153020.ply,79
33_VID_20230322_135907.ply,33
41_VID_20230322_131203.ply,41
54_VID_20230322_115602.ply,54
93_VID_20230321_141408.ply,93
95_VID_20230321_135714.ply,95
89_VID_20230321_143102.ply,89
7_VID_20230322_170403.ply,7
55_VID_20230322_114019.ply,55
30_VID_20230322_150513.ply,30
2_VID_20230322_173633.ply,2
89_VID_20230321_143518.ply,89
76_VID_20230322_104504.ply,76
67_VID_20230321_170011.ply,67
71_VID_20230321_163937.ply,71
19_VID_20230322_154621.ply,19
35_VID_20230322_134400.ply,35
76_VID_20230322_103935.ply,76
25_VID_20230322_152241.ply,25
94_VID_20230321_141347.ply,94
82_VID_20230321_152440.ply,82
54_VID_20230322_120220.ply,54
2_VID_20230322_173101.ply,2
64_VID_20230322_105115.ply,64
70_VID_20230321_163929.ply,70
65_VID_20230322_104024.ply,65
15_VID_20230322_163430.ply,15
17_VID_20230322_155539.ply,17
1_VID_20230322_173331.ply,1
11_VID_20230322_164954.ply,11
59_VID_20230322_111647.ply,59
54_VID_20230322_115718.ply,54
6_VID_20230322_171222.ply,6
66_VID_20230321_165650.ply,66
93_VID_20230321_141438.ply,93
60_VID_20230322_111022.ply,60
25_VID_20230322_151910.ply,25
84_VID_20230321_151304.ply,84
68_VID_20230321_164413.ply,68
100_VID_20230321_130025.ply,100
95_VID_20230321_140220.ply,95
92_VID_20230321_142531.ply,92
86_VID_20230321_150050.ply,86
37_VID_20230322_133311.ply,37
21_VID_20230322_153754.ply,21
42_VID_20230322_131530.ply,42
100_VID_20230321_125953.ply,100
31_VID_20230322_144943.ply,31
19_VID_20230322_154226.ply,19
26_VID_20230322_151728.ply,26
82_VID_20230321_151848.ply,82
27_VID_20230322_151318.ply,27
72_VID_20230321_162717.ply,72
98_VID_20230321_134334.ply,98
96_VID_20230321_135622.ply,96
14_VID_20230322_163840.ply,14
13_VID_20230322_164230.ply,13
29_VID_20230322_150430.ply,29
42_VID_20230322_131111.ply,42
99_VID_20230321_124609.ply,99
26_VID_20230322_151832.ply,26
22_VID_20230322_153814.ply,22
38_VID_20230322_133304.ply,38
18_VID_20230322_155607.ply,18
10_VID_20230322_165915.ply,10
70_VID_20230321_163508.ply,70
50_VID_20230322_121944.ply,50
49_VID_20230322_122230.ply,49
28_VID_20230322_151238.ply,28
39_VID_20230322_132705.ply,39
99_VID_20230321_125730.ply,99
39_VID_20230322_132743.ply,39
31_VID_20230322_144904.ply,31
88_VID_20230321_144036.ply,88
82_VID_20230321_151835.ply,82
3_VID_20230322_172221.ply,3
42_VID_20230322_131050.ply,42
93_VID_20230321_141016.ply,93
13_VID_20230322_163804.ply,13
54_VID_20230322_115615.ply,54
19_VID_20230322_154237.ply,19
55_VID_20230322_114118.ply,55
68_VID_20230321_164424.ply,68
4_VID_20230322_172011.ply,4
27_VID_20230322_151341.ply,27
49_VID_20230322_122242.ply,49
17_VID_20230322_155609.ply,17
38_VID_20230322_133634.ply,38
32_VID_20230322_144844.ply,32
13_VID_20230322_163837.ply,13
36_VID_20230322_134418.ply,36
71_VID_20230321_163514.ply,71
1_VID_20230322_173641.ply,1
80_VID_20230321_152933.ply,80
30_VID_20230322_145711.ply,30
55_VID_20230322_114041.ply,55
78_VID_20230321_154638.ply,78
97_VID_20230321_134608.ply,97
76_VID_20230322_104427.ply,76
37_VID_20230322_133335.ply,37
47_VID_20230322_123731.ply,47
61_VID_20230322_110150.ply,61
87_VID_20230321_144711.ply,87
77_VID_20230321_154828.ply,77
63_VID_20230322_105200.ply,63
96_VID_20230321_140034.ply,96
2_VID_20230322_173644.ply,2
1_VID_20230322_173700.ply,1
27_VID_20230322_151253.ply,27
24_VID_20230322_153044.ply,24
57_VID_20230322_113526.ply,57
65_VID_20230322_103932.ply,65
49_VID_20230322_122712.ply,49
26_VID_20230322_152231.ply,26
87_VID_20230321_144658.ply,87
41_VID_20230322_131634.ply,41
48_VID_20230322_123700.ply,48
69_VID_20230321_164505.ply,69
41_VID_20230322_131225.ply,41
37_VID_20230322_133322.ply,37
21_VID_20230322_153405.ply,21
62_VID_20230322_112019.ply,62
83_VID_20230321_151334.ply,83
86_VID_20230321_145959.ply,86
51_VID_20230322_121524.ply,51
82_VID_20230321_152426.ply,82
65_VID_20230322_104745.ply,65
78_VID_20230321_154150.ply,78
29_VID_20230322_150442.ply,29
99_VID_20230321_124619.ply,99
71_VID_20230321_163914.ply,71
46_VID_20230322_124813.ply,46
75_VID_20230321_161718.ply,75
85_VID_20230321_150034.ply,85
76_VID_20230322_103848.ply,76
14_VID_20230322_164218.ply,14
57_VID_20230322_113431.ply,57
39_VID_20230322_132134.ply,39
59_VID_20230322_111623.ply,59
2_VID_20230322_173143.ply,2
83_VID_20230321_150633.ply,83
83_VID_20230321_151309.ply,83
90_VID_20230321_143631.ply,90
86_VID_20230321_150038.ply,86
10_VID_20230322_165329.ply,10
43_VID_20230322_125720.ply,43
76_VID_20230322_104440.ply,76
73_VID_20230321_162830.ply,73
34_VID_20230322_135933.ply,34
50_VID_20230322_122005.ply,50
51_VID_20230322_120728.ply,51
15_VID_20230322_163419.ply,15
24_VID_20230322_153031.ply,24
81_VID_20230321_152003.ply,81
98_VID_20230321_134510.ply,98
95_VID_20230321_140355.ply,95
60_VID_20230322_111042.ply,60
65_VID_20230322_104702.ply,65
99_VID_20230321_124654.ply,99
5_VID_20230322_171642.ply,5
69_VID_20230321_165127.ply,69
20_VID_20230322_154650.ply,20
25_VID_20230322_151858.ply,25
97_VID_20230321_135059.ply,97
33_VID_20230322_135504.ply,33
80_VID_20230321_152912.ply,80
89_VID_20230321_143550.ply,89
63_VID_20230322_105145.ply,63
59_VID_20230322_112043.ply,59
