track_id,X,Y,Z
0,-0.363211,-0.370816,1.48827
2,-0.411533,-0.586747,1.41407
3,-0.406808,-0.53545,1.39706
4,-0.386128,-0.163409,1.59678
5,-0.391814,-0.339849,1.54468
6,-0.374335,-0.3003,1.53571
9,-0.310326,-0.456202,1.42583
10,-0.355182,-0.489845,1.41193
11,-0.317623,-0.093097,1.64059
12,-0.410205,-0.432281,1.49481
13,-0.393099,-0.396397,1.51182
14,-0.404633,-0.0317395,1.67889
15,-0.355852,-0.451059,1.45151
16,-0.405037,-0.268178,1.56687
17,-0.42143,-0.252767,1.60095
18,-0.384378,-0.481494,1.45996
19,-0.369103,-0.423434,1.48718
21,-0.405781,-0.201375,1.60508
22,-0.411794,-0.502093,1.48953
23,-0.392238,-0.0833274,1.6306
24,-0.321546,-0.51894,1.40547
25,-0.459558,-0.563211,1.48959
29,-0.420946,-0.290839,1.60546
30,-0.372559,-0.194158,1.57808
31,-0.360334,-0.222856,1.55476
37,-0.434658,-0.536008,1.50776
42,-0.32686,-0.0194114,1.674
44,-0.366073,-0.260665,1.53704
45,-0.330387,-0.595236,1.41953
47,-0.375915,-0.465302,1.49629
48,-0.311599,-0.55911,1.42083
53,-0.325079,-0.4053,1.49773
61,-0.308511,-0.304795,1.55555
72,-0.369419,-0.571819,1.42301
86,-0.394057,0.00402593,1.69379
87,-0.300611,-0.240896,1.60296
99,-0.255074,-0.596595,1.43827
105,-0.247831,-0.51832,1.45729
107,-0.319689,0.0155425,1.69862
111,-0.326069,-0.438642,1.47051
146,-0.328722,-0.186376,1.62926
150,-0.381454,-0.515101,1.42426
158,-0.350056,-0.091997,1.618
166,-0.366678,0.008915,1.66419
169,-0.287307,-0.540367,1.44474
193,-0.341431,-0.13662,1.60541
194,-0.363992,-0.333549,1.50958
210,-0.311666,-0.145674,1.63794
216,-0.337157,-0.337519,1.54515
220,-0.327601,-0.245583,1.56579
229,-0.309236,-0.500367,1.44514
232,-0.337002,-0.215511,1.59055
235,-0.275887,-0.426278,1.50131
246,-0.238152,-0.557573,1.44664
262,-0.28797,-0.383288,1.5196
275,-0.288421,-0.467432,1.47185
303,-0.314328,-0.0890442,1.63955
306,-0.393042,-0.0856305,1.6392
326,-0.206948,-0.517124,1.46899
327,-0.208276,-0.484305,1.50036
333,-0.194027,-0.536427,1.5074
339,-0.322168,-0.0174695,1.66661
345,-0.272962,-0.418808,1.54865
348,-0.291039,-0.362038,1.56754
354,-0.267141,-0.618994,1.51962
397,-0.302598,-0.32038,1.62362
399,-0.212203,-0.577428,1.50281
404,-0.267375,-0.639604,1.45994
416,-0.320326,-0.278081,1.60816
436,-0.305373,-0.325804,1.58631
