track_id,X,Y,Z
0,-0.0143127,-0.132809,0.892013
1,0.0441143,-0.165228,0.858801
2,0.0499461,-0.0631921,0.927401
3,0.0890051,-0.043914,0.930547
4,0.041336,0.000628576,0.966307
7,0.050337,-0.0331208,0.949643
9,-0.013448,-0.170862,0.881727
10,0.100439,-0.122737,0.902567
11,0.0659383,-0.10604,0.913099
12,0.0433934,-0.132425,0.88472
16,0.073132,0.0261194,0.981202
17,0.0215948,-0.190713,0.88122
18,0.115707,-0.0899025,0.925885
20,0.0785669,-0.160199,0.887531
21,0.132452,-0.163502,0.918797
22,0.0549211,-0.212236,0.894072
23,0.0343754,-0.102683,0.936354
24,0.0175638,-0.126163,0.904653
25,0.0863228,-0.0133522,0.965445
26,0.0949393,-0.198416,0.903155
29,0.110505,0.0170907,0.996832
31,0.142717,-0.205109,0.927556
45,0.0748949,0.0743224,1.02433
67,0.163018,-0.16949,0.940719
69,0.100513,0.0571129,1.05091
74,0.129118,-0.126987,0.934721
82,0.112609,-0.0186429,1.0171
98,0.104724,-0.223762,0.938132
108,0.0841894,0.0937598,1.06534
110,0.125554,-0.103664,0.968217
134,0.111778,-0.0585394,0.965198
136,0.151268,-0.151083,0.971735
142,0.110062,0.018879,1.04289
147,0.120085,-0.125249,1.00951
153,0.156555,-0.193317,0.96673
169,0.126018,-0.213728,0.965
171,0.0795387,-0.0780557,1.03351
172,0.0806227,-0.000588406,1.07131
175,0.0794186,-0.0382271,1.04202
