cloud_name,label
77_VID_20230321_154828.ply,77
87_VID_20230321_144658.ply,87
41_VID_20230322_131225.ply,41
73_VID_20230321_162830.ply,73
73_VID_20230321_162730.ply,73
47_VID_20230322_123743.ply,47
87_VID_20230321_144103.ply,87
73_VID_20230321_162234.ply,73
73_VID_20230321_162813.ply,73
77_VID_20230321_154808.ply,77
83_VID_20230321_151236.ply,83
73_VID_20230321_162246.ply,73
41_VID_20230322_131551.ply,41
87_VID_20230321_144149.ply,87
47_VID_20230322_123233.ply,47
73_VID_20230321_162323.ply,73
77_VID_20230321_154302.ply,77
57_VID_20230322_113453.ply,57
84_VID_20230321_150704.ply,84
88_VID_20230321_144522.ply,88
84_VID_20230321_151314.ply,84
73_VID_20230321_162259.ply,73
