track_id,X,Y,Z
0,-0.112193,-1.28486,4.0927
1,-0.249822,-1.7301,3.84195
2,-0.187742,-1.35596,4.0814
3,-0.298794,-1.57717,3.89143
4,-0.342572,-1.77931,3.84857
5,-0.1036,-1.75819,3.79553
6,-0.26464,-1.96271,3.87733
7,-0.193327,-1.57476,3.89611
8,-0.0265212,-1.83334,3.81094
9,-0.335866,-1.69371,3.90082
10,-0.183846,-1.45453,3.91273
11,-0.165926,-1.93486,3.84741
14,-0.15717,-1.66852,3.83295
15,-0.0295382,-1.67072,3.86861
16,-0.334605,-1.97123,3.94519
17,-0.0737712,-1.58213,3.90918
18,-0.276686,-1.51431,3.96829
20,-0.17859,-1.81492,3.87791
22,-0.0276736,-1.92884,3.86244
24,-0.290955,-1.86434,3.88684
26,-0.0817906,-1.53614,3.99917
29,-0.101552,-1.86085,3.87893
49,0.028277,-1.85,3.89106
53,-0.0826971,-1.51266,4.10233
58,-0.237826,-1.67561,3.92477
70,-0.0189376,-2.00628,3.93127
71,-0.133312,-2.01036,3.9393
80,-0.03189,-1.76291,3.8768
82,0.0439448,-1.91877,3.96321
85,0.00116555,-1.80538,4.04205
89,-0.160098,-1.4402,4.00635
90,-0.034071,-1.62936,4.02065
107,-0.0263813,-1.723,3.97336
114,-0.131248,-1.42753,4.13661
154,-0.0927247,-1.76858,4.11189
155,-0.0817968,-1.87014,4.08233
