,cloud_name_1,label_1,cloud_name_2,label_2
0,63_VID_20230322_105126.ply,63,63_VID_20230322_105200.ply,63
1,63_VID_20230322_105126.ply,63,63_VID_20230322_105145.ply,63
2,63_VID_20230322_105126.ply,63,63_VID_20230322_105656.ply,63
3,63_VID_20230322_105126.ply,63,63_VID_20230322_105645.ply,63
4,63_VID_20230322_105126.ply,63,63_VID_20230322_105611.ply,63
5,63_VID_20230322_105126.ply,63,63_VID_20230322_105116.ply,63
6,63_VID_20230322_105126.ply,63,63_VID_20230322_105622.ply,63
7,63_VID_20230322_105126.ply,63,63_VID_20230322_105136.ply,63
8,63_VID_20230322_105126.ply,63,63_VID_20230322_105633.ply,63
9,100_VID_20230321_124952.ply,100,100_VID_20230321_130025.ply,100
10,100_VID_20230321_124952.ply,100,100_VID_20230321_125953.ply,100
11,100_VID_20230321_124952.ply,100,100_VID_20230321_130004.ply,100
12,100_VID_20230321_124952.ply,100,100_VID_20230321_130015.ply,100
13,100_VID_20230321_124952.ply,100,100_VID_20230321_124940.ply,100
14,100_VID_20230321_124952.ply,100,100_VID_20230321_124832.ply,100
15,100_VID_20230321_124952.ply,100,100_VID_20230321_125255.ply,100
16,100_VID_20230321_124952.ply,100,100_VID_20230321_124846.ply,100
17,45_VID_20230322_124332.ply,45,45_VID_20230322_124320.ply,45
18,45_VID_20230322_124332.ply,45,45_VID_20230322_124811.ply,45
19,45_VID_20230322_124332.ply,45,45_VID_20230322_124306.ply,45
20,45_VID_20230322_124332.ply,45,45_VID_20230322_124347.ply,45
21,45_VID_20230322_124332.ply,45,45_VID_20230322_124724.ply,45
22,45_VID_20230322_124332.ply,45,45_VID_20230322_124735.ply,45
23,45_VID_20230322_124332.ply,45,45_VID_20230322_124255.ply,45
24,45_VID_20230322_124332.ply,45,45_VID_20230322_124756.ply,45
25,45_VID_20230322_124332.ply,45,45_VID_20230322_124746.ply,45
26,47_VID_20230322_123332.ply,47,47_VID_20230322_123731.ply,47
27,47_VID_20230322_123332.ply,47,47_VID_20230322_123743.ply,47
28,47_VID_20230322_123332.ply,47,47_VID_20230322_123704.ply,47
29,47_VID_20230322_123332.ply,47,47_VID_20230322_123805.ply,47
30,47_VID_20230322_123332.ply,47,47_VID_20230322_123402.ply,47
31,47_VID_20230322_123332.ply,47,47_VID_20230322_123233.ply,47
32,47_VID_20230322_123332.ply,47,47_VID_20230322_123322.ply,47
33,47_VID_20230322_123332.ply,47,47_VID_20230322_123754.ply,47
34,47_VID_20230322_123332.ply,47,47_VID_20230322_123352.ply,47
35,79_VID_20230321_153020.ply,79,79_VID_20230321_153541.ply,79
36,79_VID_20230321_153020.ply,79,79_VID_20230321_152939.ply,79
37,79_VID_20230321_153020.ply,79,79_VID_20230321_153006.ply,79
38,79_VID_20230321_153020.ply,79,79_VID_20230321_153602.ply,79
39,79_VID_20230321_153020.ply,79,79_VID_20230321_153616.ply,79
40,79_VID_20230321_153020.ply,79,79_VID_20230321_153530.ply,79
41,79_VID_20230321_153020.ply,79,79_VID_20230321_153552.ply,79
42,79_VID_20230321_153020.ply,79,79_VID_20230321_153038.ply,79
43,79_VID_20230321_153020.ply,79,79_VID_20230321_152952.ply,79
44,33_VID_20230322_135907.ply,33,33_VID_20230322_135504.ply,33
45,33_VID_20230322_135907.ply,33,33_VID_20230322_135917.ply,33
46,33_VID_20230322_135907.ply,33,33_VID_20230322_135856.ply,33
47,33_VID_20230322_135907.ply,33,33_VID_20230322_135516.ply,33
48,33_VID_20230322_135907.ply,33,33_VID_20230322_135408.ply,33
49,33_VID_20230322_135907.ply,33,33_VID_20230322_135928.ply,33
50,33_VID_20230322_135907.ply,33,33_VID_20230322_135454.ply,33
51,33_VID_20230322_135907.ply,33,33_VID_20230322_135843.ply,33
52,33_VID_20230322_135907.ply,33,33_VID_20230322_135442.ply,33
53,41_VID_20230322_131203.ply,41,41_VID_20230322_131634.ply,41
54,41_VID_20230322_131203.ply,41,41_VID_20230322_131225.ply,41
55,41_VID_20230322_131203.ply,41,41_VID_20230322_131537.ply,41
56,41_VID_20230322_131203.ply,41,41_VID_20230322_131551.ply,41
57,41_VID_20230322_131203.ply,41,41_VID_20230322_131214.ply,41
58,41_VID_20230322_131203.ply,41,41_VID_20230322_131618.ply,41
59,41_VID_20230322_131203.ply,41,41_VID_20230322_131603.ply,41
60,41_VID_20230322_131203.ply,41,41_VID_20230322_131236.ply,41
61,54_VID_20230322_115602.ply,54,54_VID_20230322_120220.ply,54
62,54_VID_20230322_115602.ply,54,54_VID_20230322_115718.ply,54
63,54_VID_20230322_115602.ply,54,54_VID_20230322_115615.ply,54
64,54_VID_20230322_115602.ply,54,54_VID_20230322_115550.ply,54
65,54_VID_20230322_115602.ply,54,54_VID_20230322_120134.ply,54
66,54_VID_20230322_115602.ply,54,54_VID_20230322_120231.ply,54
67,54_VID_20230322_115602.ply,54,54_VID_20230322_120158.ply,54
68,54_VID_20230322_115602.ply,54,54_VID_20230322_120209.ply,54
69,54_VID_20230322_115602.ply,54,54_VID_20230322_115631.ply,54
70,93_VID_20230321_141408.ply,93,93_VID_20230321_141438.ply,93
71,93_VID_20230321_141408.ply,93,93_VID_20230321_141016.ply,93
72,93_VID_20230321_141408.ply,93,93_VID_20230321_141427.ply,93
73,93_VID_20230321_141408.ply,93,93_VID_20230321_140946.ply,93
74,93_VID_20230321_141408.ply,93,93_VID_20230321_140934.ply,93
75,93_VID_20230321_141408.ply,93,93_VID_20230321_140957.ply,93
76,93_VID_20230321_141408.ply,93,93_VID_20230321_141055.ply,93
77,93_VID_20230321_141408.ply,93,93_VID_20230321_141417.ply,93
78,93_VID_20230321_141408.ply,93,93_VID_20230321_140910.ply,93
79,93_VID_20230321_141408.ply,93,93_VID_20230321_141448.ply,93
80,95_VID_20230321_135714.ply,95,95_VID_20230321_140220.ply,95
