track_id,X,Y,Z
0,-1.39511,-1.45015,7.64622
1,-1.51394,-1.78577,7.33088
2,-1.48179,-2.13047,7.17103
3,-1.43931,-2.18775,7.3743
5,-1.48541,-1.9431,7.20183
6,-1.62888,-2.6058,6.95543
7,-1.60201,-2.60574,7.17977
8,-1.47546,-2.43658,6.89177
9,-1.45253,-2.76912,6.95335
10,-1.46042,-1.83027,7.55305
11,-1.47688,-1.63882,7.4682
12,-1.3226,-1.25062,7.58914
13,-1.39932,-2.25017,7.0003
15,-1.35003,-1.467,7.45553
16,-1.46439,-2.43438,7.1402
17,-1.35571,-2.68078,6.74184
18,-1.38591,-2.11855,7.56158
19,-1.38311,-1.93155,7.0249
20,-1.44741,-1.97738,7.40235
22,-1.27916,-1.07159,7.76124
23,-1.32219,-2.09599,6.87116
24,-1.34861,-1.61819,7.28394
25,-1.26625,-2.30288,6.78474
30,-1.35976,-1.7901,7.16595
32,-0.783247,-2.61965,6.68116
35,-1.09292,-2.16469,6.76546
37,-1.25014,-2.52075,6.83286
48,-0.812172,-2.46719,6.84994
55,-1.13913,-1.64587,7.20712
71,-1.42952,-1.19977,7.76554
74,-1.12536,-2.01174,6.91224
75,-1.18035,-1.84981,7.04579
81,-0.965752,-1.83559,7.06867
83,-1.13772,-2.71143,6.80669
85,-0.55576,-2.47538,6.92632
86,-1.16127,-1.39324,7.51707
87,-0.391278,-2.62487,6.9272
88,-1.1574,-1.53863,7.36715
92,-1.37661,-2.67552,6.74541
96,-0.951411,-2.54367,7.00045
100,-1.07529,-2.38897,6.85893
103,-0.731375,-2.40316,7.02806
105,-0.931976,-2.01729,7.00527
106,-0.974066,-1.36586,7.63755
108,-1.10774,-1.20706,7.72652
110,-1.27695,-1.06315,7.75818
121,-0.590167,-2.66487,6.82138
125,-0.967117,-1.72179,7.40113
131,-0.993031,-1.54745,7.53729
148,-0.858972,-2.24944,7.09435
149,-0.532836,-2.45858,7.16257
162,-0.982482,-2.23148,6.93009
166,-0.381627,-2.60376,7.13756
180,-1.02725,-1.77537,7.24786
