track_id,X,Y,Z
0,-0.693333,-0.968846,5.04589
1,-0.775005,-2.19247,4.98473
3,-0.640113,-2.14229,4.89861
4,-0.601554,-1.11213,5.05394
5,-0.789553,-1.97414,5.05595
6,-0.657936,-1.46324,5.03931
7,-0.632464,-1.90882,4.91834
8,-0.888708,-2.00735,5.13329
9,-0.623603,-1.68373,4.97756
10,-0.708021,-2.32284,5.09615
11,-0.592443,-1.56268,4.97312
12,-0.809968,-2.10246,5.07217
13,-0.661209,-2.26575,4.98495
15,-0.711427,-1.33506,5.08408
16,-0.670706,-2.00009,4.9998
18,-0.684112,-1.20748,5.094
20,-0.706762,-1.83719,5.02695
22,-0.793889,-2.33554,5.21758
23,-0.606965,-1.3522,4.99855
24,-0.718158,-1.06529,5.11591
25,-0.587316,-1.80457,4.97847
26,-0.781301,-1.61533,5.13355
30,-0.799252,-2.23495,5.12198
31,-0.70651,-1.69341,5.09132
32,-0.764012,-1.78567,5.14671
35,-0.861905,-2.13949,5.33675
38,-0.842492,-2.22,5.24687
39,-0.845049,-2.12493,5.18352
40,-0.564301,-0.990704,5.07624
42,-0.688693,-1.58156,5.05112
44,-0.815593,-1.9015,5.1809
46,-0.740004,-1.15356,5.19612
50,-0.873532,-2.03984,5.26043
55,-0.754165,-1.68671,5.23504
57,-0.730213,-1.2876,5.20996
58,-0.728912,-1.02561,5.23921
63,-0.812671,-2.28523,5.34172
66,-0.782489,-1.79899,5.27531
73,-0.695473,-1.40031,5.29924
75,-0.682703,-1.28121,5.32674
77,-0.744218,-1.56251,5.24922
78,-0.821903,-2.20914,5.4217
91,-0.765802,-1.50244,5.11843
103,-0.736634,-0.927369,5.15525
116,-0.513298,-1.45043,4.9917
122,-0.534824,-1.23381,5.06673
128,-0.686709,-0.957586,5.04922
135,-0.452762,-2.25057,5.02932
138,-0.515919,-1.90538,4.93187
144,-0.586544,-1.80397,4.96175
148,-0.39333,-1.77628,5.05288
154,-0.605017,-0.876171,5.1229
156,-0.39041,-1.62486,5.06935
157,-0.41285,-2.15307,5.05932
160,-0.491104,-1.68426,5.01397
162,-0.408319,-1.29019,5.09868
163,-0.52746,-2.1043,4.97706
165,-0.493105,-1.07846,5.13476
168,-0.410927,-1.41186,5.08069
169,-0.423512,-1.18003,5.15395
170,-0.403939,-1.50839,5.10343
178,-0.534681,-2.2283,4.92846
179,-0.512816,-1.55005,5.04751
193,-0.44624,-1.93917,5.00848
204,-0.741192,-0.917255,5.15852
225,-0.723981,-1.28368,5.22051
