track_id,X,Y,Z
2,-0.561917,-0.436882,2.78099
3,-0.495876,-0.366328,2.815
4,-0.33834,-0.676837,2.68053
5,-0.395164,-0.932568,2.62114
6,-0.452477,-0.230697,2.82151
7,-0.567866,-0.978306,2.63279
8,-0.325159,-0.773274,2.66155
9,-0.426832,-0.770834,2.64221
10,-0.469781,-0.862168,2.62248
11,-0.392893,-0.308203,2.81222
12,-0.308195,-1.01313,2.60183
13,-0.470533,-0.444191,2.77054
14,-0.249765,-0.839986,2.67657
15,-0.385569,-0.481847,2.7772
16,-0.521549,-0.268038,2.87145
17,-0.0746589,-0.910005,2.83379
18,-0.417023,-1.05743,2.58804
19,-0.448565,-0.546191,2.76114
21,-0.237186,-0.743093,2.69271
22,-0.49488,-0.628029,2.73533
23,-0.296367,-0.912894,2.63082
24,-0.12818,-0.998664,2.73901
25,-0.150507,-0.914703,2.77023
26,-0.560884,-0.572647,2.7836
29,-0.521881,-0.740914,2.67025
30,-0.316509,-1.12023,2.62167
31,-0.239779,-1.06393,2.66324
32,-0.169813,-1.10017,2.71799
33,-0.553285,-0.824109,2.64309
35,-0.431918,-0.691819,2.69833
36,-0.515777,-1.04583,2.5881
37,-0.161349,-0.764441,2.75415
38,-0.669557,-0.87642,2.73567
39,-0.228517,-0.933103,2.71027
40,-0.365898,-0.58969,2.83067
41,-0.475325,-0.981252,2.63228
43,-0.373523,-0.410323,2.81984
44,-0.388539,-0.629978,2.7334
45,-0.220392,-0.6895,2.76622
46,-0.625572,-0.935415,2.68776
47,-0.56409,-0.697209,2.77493
48,-0.597926,-0.791863,2.72839
49,-0.309762,-0.641006,2.8455
51,-0.368872,-0.850211,2.66317
54,-0.218958,-1.00834,2.70511
55,-0.152689,-0.85882,2.81968
56,-0.245157,-1.14338,2.70137
57,-0.550798,-0.905618,2.68242
69,-0.402605,-0.0704783,2.87616
70,-0.476507,-0.137398,2.88654
71,-0.747676,-0.886031,2.69758
72,-0.69375,-0.980148,2.67233
73,-0.782971,-0.950442,2.6728
74,-0.626828,-1.04702,2.64635
76,-0.781541,-1.01761,2.7229
95,-0.615504,-0.753597,2.77334
143,-0.391427,-0.134803,2.94281
144,-0.217542,-0.827399,2.76592
146,-0.460204,-1.14074,2.73256
149,-0.548975,-1.14485,2.76318
180,-0.0993257,-1.05325,2.83579
182,-0.0552214,-0.961554,2.9067
219,-0.535056,-1.08296,2.67463
249,-0.493647,-0.625834,2.73772
265,-0.433122,-0.6918,2.70028
272,-0.552343,-0.896902,2.673
286,-0.554003,-0.564149,2.78981
