cloud_name,label
2_VID_20230322_173353.ply,2
5_VID_20230322_171444.ply,5
8_VID_20230322_171008.ply,8
71_VID_20230321_163821.ply,71
37_VID_20230322_134004.ply,37
39_VID_20230322_133037.ply,39
70_VID_20230321_163642.ply,70
80_VID_20230321_153235.ply,80
29_VID_20230322_150258.ply,29
65_VID_20230322_104926.ply,65
28_VID_20230322_151109.ply,28
70_VID_20230321_164142.ply,70
3_VID_20230322_172523.ply,3
65_VID_20230322_104906.ply,65
56_VID_20230322_114455.ply,56
14_VID_20230322_164343.ply,14
82_VID_20230321_152810.ply,82
38_VID_20230322_133526.ply,38
37_VID_20230322_133539.ply,37
27_VID_20230322_151141.ply,27
11_VID_20230322_164849.ply,11
87_VID_20230321_144911.ply,87
69_VID_20230321_164902.ply,69
9_VID_20230322_165807.ply,9
55_VID_20230322_115137.ply,55
4_VID_20230322_173048.ply,4
14_VID_20230322_164326.ply,14
55_VID_20230322_115158.ply,55
14_VID_20230322_164353.ply,14
99_VID_20230321_125418.ply,99
28_VID_20230322_151608.ply,28
24_VID_20230322_153232.ply,24
46_VID_20230322_125005.ply,46
32_VID_20230322_145528.ply,32
6_VID_20230322_171444.ply,6
11_VID_20230322_165211.ply,11
68_VID_20230321_164720.ply,68
84_VID_20230321_151109.ply,84
77_VID_20230321_155119.ply,77
78_VID_20230321_154440.ply,78
37_VID_20230322_133554.ply,37
67_VID_20230321_170509.ply,67
23_VID_20230322_153212.ply,23
72_VID_20230321_163031.ply,72
37_VID_20230322_133531.ply,37
6_VID_20230322_171810.ply,6
22_VID_20230322_153611.ply,22
82_VID_20230321_152035.ply,82
19_VID_20230322_154918.ply,19
23_VID_20230322_152846.ply,23
11_VID_20230322_164810.ply,11
72_VID_20230321_162616.ply,72
77_VID_20230321_155127.ply,77
42_VID_20230322_131330.ply,42
10_VID_20230322_170152.ply,10
85_VID_20230321_150329.ply,85
75_VID_20230321_162003.ply,75
73_VID_20230321_162529.ply,73
25_VID_20230322_152434.ply,25
93_VID_20230321_141250.ply,93
81_VID_20230321_152732.ply,81
49_VID_20230322_122918.ply,49
21_VID_20230322_154013.ply,21
45_VID_20230322_125019.ply,45
41_VID_20230322_131418.ply,41
95_VID_20230321_135932.ply,95
25_VID_20230322_152143.ply,25
22_VID_20230322_154033.ply,22
12_VID_20230322_164748.ply,12
68_VID_20230321_164705.ply,68
78_VID_20230321_154405.ply,78
89_VID_20230321_143831.ply,89
71_VID_20230321_163750.ply,71
94_VID_20230321_141739.ply,94
73_VID_20230321_162540.ply,73
73_VID_20230321_163213.ply,73
19_VID_20230322_154906.ply,19
98_VID_20230321_135521.ply,98
53_VID_20230322_115733.ply,53
2_VID_20230322_173830.ply,2
25_VID_20230322_152123.ply,25
55_VID_20230322_115146.ply,55
54_VID_20230322_115932.ply,54
94_VID_20230321_141707.ply,94
84_VID_20230321_151125.ply,84
39_VID_20230322_132423.ply,39
9_VID_20230322_165752.ply,9
17_VID_20230322_155813.ply,17
49_VID_20230322_122520.ply,49
85_VID_20230321_145755.ply,85
93_VID_20230321_141234.ply,93
5_VID_20230322_171507.ply,5
14_VID_20230322_164019.ply,14
66_VID_20230321_165833.ply,66
72_VID_20230321_162540.ply,72
73_VID_20230321_163311.ply,73
99_VID_20230321_130258.ply,99
39_VID_20230322_132431.ply,39
19_VID_20230322_154407.ply,19
77_VID_20230321_154456.ply,77
61_VID_20230322_110410.ply,61
