,cloud_name_1,label_1,cloud_name_2,label_2
0,63_VID_20230322_105126.ply,63,45_VID_20230322_124756_copia_90.ply,45
1,63_VID_20230322_105126.ply,63,26_VID_20230322_152231_copia_40.ply,26
2,63_VID_20230322_105126.ply,63,3_VID_20230322_172241_copia_50.ply,3
3,63_VID_20230322_105126.ply,63,47_VID_20230322_123704_copia_85.ply,47
4,63_VID_20230322_105126.ply,63,37_VID_20230322_133350_copia_95.ply,37
5,63_VID_20230322_105126.ply,63,35_VID_20230322_134745_copia_65.ply,35
6,63_VID_20230322_105126.ply,63,14_VID_20230322_163830_copia_95.ply,14
7,63_VID_20230322_105126.ply,63,29_VID_20230322_150049_copia_60.ply,29
8,63_VID_20230322_105126.ply,63,10_VID_20230322_165848_copia_15.ply,10
9,63_VID_20230322_105126.ply,63,45_VID_20230322_124746_copia_15.ply,45
10,63_VID_20230322_105126.ply,63,33_VID_20230322_135408_copia_90.ply,33
11,63_VID_20230322_105126.ply,63,44_VID_20230322_125309_copia_25.ply,44
12,100_VID_20230321_124952.ply,100,45_VID_20230322_124756_copia_90.ply,45
13,100_VID_20230321_124952.ply,100,26_VID_20230322_152231_copia_40.ply,26
14,100_VID_20230321_124952.ply,100,3_VID_20230322_172241_copia_50.ply,3
15,100_VID_20230321_124952.ply,100,47_VID_20230322_123704_copia_85.ply,47
16,100_VID_20230321_124952.ply,100,37_VID_20230322_133350_copia_95.ply,37
17,100_VID_20230321_124952.ply,100,35_VID_20230322_134745_copia_65.ply,35
18,100_VID_20230321_124952.ply,100,14_VID_20230322_163830_copia_95.ply,14
19,100_VID_20230321_124952.ply,100,29_VID_20230322_150049_copia_60.ply,29
20,100_VID_20230321_124952.ply,100,10_VID_20230322_165848_copia_15.ply,10
21,100_VID_20230321_124952.ply,100,45_VID_20230322_124746_copia_15.ply,45
22,100_VID_20230321_124952.ply,100,33_VID_20230322_135408_copia_90.ply,33
23,100_VID_20230321_124952.ply,100,44_VID_20230322_125309_copia_25.ply,44
24,45_VID_20230322_124332.ply,45,45_VID_20230322_124756_copia_90.ply,45
25,45_VID_20230322_124332.ply,45,26_VID_20230322_152231_copia_40.ply,26
26,45_VID_20230322_124332.ply,45,3_VID_20230322_172241_copia_50.ply,3
27,45_VID_20230322_124332.ply,45,47_VID_20230322_123704_copia_85.ply,47
28,45_VID_20230322_124332.ply,45,37_VID_20230322_133350_copia_95.ply,37
29,45_VID_20230322_124332.ply,45,35_VID_20230322_134745_copia_65.ply,35
30,45_VID_20230322_124332.ply,45,14_VID_20230322_163830_copia_95.ply,14
31,45_VID_20230322_124332.ply,45,29_VID_20230322_150049_copia_60.ply,29
32,45_VID_20230322_124332.ply,45,10_VID_20230322_165848_copia_15.ply,10
33,45_VID_20230322_124332.ply,45,45_VID_20230322_124746_copia_15.ply,45
34,45_VID_20230322_124332.ply,45,33_VID_20230322_135408_copia_90.ply,33
35,45_VID_20230322_124332.ply,45,44_VID_20230322_125309_copia_25.ply,44
36,47_VID_20230322_123332.ply,47,45_VID_20230322_124756_copia_90.ply,45
37,47_VID_20230322_123332.ply,47,26_VID_20230322_152231_copia_40.ply,26
38,47_VID_20230322_123332.ply,47,3_VID_20230322_172241_copia_50.ply,3
39,47_VID_20230322_123332.ply,47,47_VID_20230322_123704_copia_85.ply,47
40,47_VID_20230322_123332.ply,47,37_VID_20230322_133350_copia_95.ply,37
41,47_VID_20230322_123332.ply,47,35_VID_20230322_134745_copia_65.ply,35
42,47_VID_20230322_123332.ply,47,14_VID_20230322_163830_copia_95.ply,14
43,47_VID_20230322_123332.ply,47,29_VID_20230322_150049_copia_60.ply,29
44,47_VID_20230322_123332.ply,47,10_VID_20230322_165848_copia_15.ply,10
45,47_VID_20230322_123332.ply,47,45_VID_20230322_124746_copia_15.ply,45
46,47_VID_20230322_123332.ply,47,33_VID_20230322_135408_copia_90.ply,33
47,47_VID_20230322_123332.ply,47,44_VID_20230322_125309_copia_25.ply,44
48,79_VID_20230321_153020.ply,79,45_VID_20230322_124756_copia_90.ply,45
49,79_VID_20230321_153020.ply,79,26_VID_20230322_152231_copia_40.ply,26
50,79_VID_20230321_153020.ply,79,3_VID_20230322_172241_copia_50.ply,3
51,79_VID_20230321_153020.ply,79,47_VID_20230322_123704_copia_85.ply,47
52,79_VID_20230321_153020.ply,79,37_VID_20230322_133350_copia_95.ply,37
53,79_VID_20230321_153020.ply,79,35_VID_20230322_134745_copia_65.ply,35
54,79_VID_20230321_153020.ply,79,14_VID_20230322_163830_copia_95.ply,14
55,79_VID_20230321_153020.ply,79,29_VID_20230322_150049_copia_60.ply,29
56,79_VID_20230321_153020.ply,79,10_VID_20230322_165848_copia_15.ply,10
57,79_VID_20230321_153020.ply,79,45_VID_20230322_124746_copia_15.ply,45
58,79_VID_20230321_153020.ply,79,33_VID_20230322_135408_copia_90.ply,33
59,79_VID_20230321_153020.ply,79,44_VID_20230322_125309_copia_25.ply,44
60,33_VID_20230322_135907.ply,33,45_VID_20230322_124756_copia_90.ply,45
61,33_VID_20230322_135907.ply,33,26_VID_20230322_152231_copia_40.ply,26
62,33_VID_20230322_135907.ply,33,3_VID_20230322_172241_copia_50.ply,3
63,33_VID_20230322_135907.ply,33,47_VID_20230322_123704_copia_85.ply,47
64,33_VID_20230322_135907.ply,33,37_VID_20230322_133350_copia_95.ply,37
65,33_VID_20230322_135907.ply,33,35_VID_20230322_134745_copia_65.ply,35
66,33_VID_20230322_135907.ply,33,14_VID_20230322_163830_copia_95.ply,14
67,33_VID_20230322_135907.ply,33,29_VID_20230322_150049_copia_60.ply,29
68,33_VID_20230322_135907.ply,33,10_VID_20230322_165848_copia_15.ply,10
69,33_VID_20230322_135907.ply,33,45_VID_20230322_124746_copia_15.ply,45
