cloud_name,label
76_VID_20230322_104440_95.ply,76
35_VID_20230322_134348_95.ply,35
86_VID_20230321_150104_55.ply,86
13_VID_20230322_164204_95.ply,13
86_VID_20230321_150050_65.ply,86
22_VID_20230322_153752_10.ply,22
47_VID_20230322_123704_75.ply,47
15_VID_20230322_163105_85.ply,15
10_VID_20230322_165915_85.ply,10
68_VID_20230321_165023_20.ply,68
79_VID_20230321_152939_65.ply,79
50_VID_20230322_122155_25.ply,50
64_VID_20230322_105633_95.ply,64
10_VID_20230322_165903_10.ply,10
10_VID_20230322_165941_15.ply,10
63_VID_20230322_105126_40.ply,63
2_VID_20230322_173131_10.ply,2
73_VID_20230321_162813_50.ply,73
3_VID_20230322_172657_75.ply,3
78_VID_20230321_154201_65.ply,78
24_VID_20230322_152633_95.ply,24
68_VID_20230321_165102_30.ply,68
10_VID_20230322_165416_10.ply,10
91_VID_20230321_142425_30.ply,91
49_VID_20230322_122646_20.ply,49
46_VID_20230322_124250_95.ply,46
62_VID_20230322_112042_60.ply,62
17_VID_20230322_155227_25.ply,17
22_VID_20230322_153825_70.ply,22
21_VID_20230322_153430_75.ply,21
84_VID_20230321_150638_20.ply,84
33_VID_20230322_135516_55.ply,33
11_VID_20230322_164954_40.ply,11
72_VID_20230321_162318_10.ply,72
97_VID_20230321_135046_15.ply,97
26_VID_20230322_152220_95.ply,26
73_VID_20230321_162246_40.ply,73
45_VID_20230322_124306_20.ply,45
86_VID_20230321_150118_10.ply,86
74_VID_20230321_161753_95.ply,74
6_VID_20230322_171235_70.ply,6
92_VID_20230321_142531_65.ply,92
23_VID_20230322_153044_90.ply,23
13_VID_20230322_163813_61.ply,13
11_VID_20230322_164604_85.ply,11
96_VID_20230321_135716_15.ply,96
53_VID_20230322_115526_10.ply,53
2_VID_20230322_173656_40.ply,2
7_VID_20230322_170739_90.ply,7
12_VID_20230322_164552_95.ply,12
86_VID_20230321_150038_25.ply,86
21_VID_20230322_153804_95.ply,21
77_VID_20230321_154745_90.ply,77
14_VID_20230322_164208_90.ply,14
24_VID_20230322_152601_70.ply,24
88_VID_20230321_144036_85.ply,88
58_VID_20230322_113350_35.ply,58
41_VID_20230322_131236_95.ply,41
63_VID_20230322_105645_25.ply,63
50_VID_20230322_121955_65.ply,50
9_VID_20230322_165434_85.ply,9
45_VID_20230322_124347_45.ply,45
66_VID_20230321_165554_65.ply,66
21_VID_20230322_153405_35.ply,21
10_VID_20230322_165329_10.ply,10
29_VID_20230322_150059_25.ply,29
79_VID_20230321_153038_65.ply,79
98_VID_20230321_134334_25.ply,98
28_VID_20230322_151247_70.ply,28
33_VID_20230322_135856_85.ply,33
62_VID_20230322_112031_15.ply,62
84_VID_20230321_150615_95.ply,84
60_VID_20230322_110400_35.ply,60
62_VID_20230322_112008_90.ply,62
85_VID_20230321_145338_20.ply,85
46_VID_20230322_124322_15.ply,46
30_VID_20230322_145810_10.ply,30
56_VID_20230322_114216_15.ply,56
42_VID_20230322_131135_95.ply,42
73_VID_20230321_162720_60.ply,73
75_VID_20230321_161311_35.ply,75
51_VID_20230322_120717_10.ply,51
16_VID_20230322_163116_95.ply,16
60_VID_20230322_110423_20.ply,60
17_VID_20230322_155619_10.ply,17
42_VID_20230322_131530_15.ply,42
27_VID_20230322_150916_50.ply,27
58_VID_20230322_112726_55.ply,58
83_VID_20230321_151309_15.ply,83
14_VID_20230322_163819_45.ply,14
28_VID_20230322_150910_65.ply,28
25_VID_20230322_151910_70.ply,25
37_VID_20230322_133322_10.ply,37
36_VID_20230322_134749_70.ply,36
1_VID_20230322_173650_75.ply,1
67_VID_20230321_170107_15.ply,67
44_VID_20230322_125227_20.ply,44
9_VID_20230322_165448_70.ply,9
39_VID_20230322_132743_95.ply,39
71_VID_20230321_164014_95.ply,71
69_VID_20230321_164552_95.ply,69
22_VID_20230322_153418_60.ply,22
78_VID_20230321_154726_20.ply,78
81_VID_20230321_151934_30.ply,81
91_VID_20230321_142551_80.ply,91
9_VID_20230322_165408_30.ply,9
55_VID_20230322_114009_55.ply,55
41_VID_20230322_131203_50.ply,41
85_VID_20230321_150045_20.ply,85
66_VID_20230321_165632_80.ply,66
26_VID_20230322_151646_75.ply,26
97_VID_20230321_134513_85.ply,97
35_VID_20230322_134832_10.ply,35
18_VID_20230322_155555_20.ply,18
77_VID_20230321_154220_40.ply,77
26_VID_20230322_151728_85.ply,26
58_VID_20230322_112652_30.ply,58
42_VID_20230322_131050_95.ply,42
36_VID_20230322_134328_85.ply,36
63_VID_20230322_105622_80.ply,63
37_VID_20230322_133742_15.ply,37
44_VID_20230322_125745_15.ply,44
45_VID_20230322_124320_90.ply,45
61_VID_20230322_110130_65.ply,61
56_VID_20230322_114149_20.ply,56
69_VID_20230321_165113_25.ply,69
24_VID_20230322_153055_85.ply,24
99_VID_20230321_124654_20.ply,99
81_VID_20230321_152003_15.ply,81
30_VID_20230322_150457_15.ply,30
89_VID_20230321_143604_30.ply,89
96_VID_20230321_140043_25.ply,96
98_VID_20230321_135144_80.ply,98
27_VID_20230322_151329_10.ply,27
69_VID_20230321_164539_65.ply,69
12_VID_20230322_164526_15.ply,12
60_VID_20230322_111032_15.ply,60
17_VID_20230322_155135_15.ply,17
48_VID_20230322_123724_20.ply,48
92_VID_20230321_141842_10.ply,92
19_VID_20230322_154657_15.ply,19
15_VID_20230322_163507_55.ply,15
34_VID_20230322_135851_55.ply,34
49_VID_20230322_122728_80.ply,49
47_VID_20230322_123352_75.ply,47
23_VID_20230322_152627_90.ply,23
51_VID_20230322_120728_10.ply,51
66_VID_20230321_165620_35.ply,66
79_VID_20230321_153616_15.ply,79
70_VID_20230321_163929_90.ply,70
3_VID_20230322_172647_80.ply,3
14_VID_20230322_164218_15.ply,14
80_VID_20230321_153554_85.ply,80
90_VID_20230321_143153_75.ply,90
31_VID_20230322_144955_25.ply,31
13_VID_20230322_163824_75.ply,13
38_VID_20230322_133304_80.ply,38
54_VID_20230322_120231_30.ply,54
36_VID_20230322_134418_65.ply,36
67_VID_20230321_165459_15.ply,67
18_VID_20230322_155619_10.ply,18
28_VID_20230322_151257_95.ply,28
45_VID_20230322_124735_85.ply,45
93_VID_20230321_141408_20.ply,93
36_VID_20230322_134342_65.ply,36
92_VID_20230321_142451_95.ply,92
45_VID_20230322_124332_40.ply,45
57_VID_20230322_112805_15.ply,57
33_VID_20230322_135454_50.ply,33
30_VID_20230322_145734_40.ply,30
9_VID_20230322_165356_70.ply,9
47_VID_20230322_123322_35.ply,47
98_VID_20230321_135204_75.ply,98
7_VID_20230322_170802_95.ply,7
79_VID_20230321_153552_95.ply,79
60_VID_20230322_111001_90.ply,60
12_VID_20230322_164453_90.ply,12
46_VID_20230322_124227_20.ply,46
32_VID_20230322_144812_50.ply,32
86_VID_20230321_145336_25.ply,86
70_VID_20230321_163954_55.ply,70
50_VID_20230322_122717_10.ply,50
98_VID_20230321_134443_60.ply,98
53_VID_20230322_120135_10.ply,53
43_VID_20230322_125237_45.ply,43
2_VID_20230322_173121_40.ply,2
84_VID_20230321_150704_34.ply,84
6_VID_20230322_171222_40.ply,6
29_VID_20230322_150419_75.ply,29
12_VID_20230322_164503_95.ply,12
8_VID_20230322_170756_15.ply,8
6_VID_20230322_171250_45.ply,6
95_VID_20230321_135714_30.ply,95
79_VID_20230321_153006_80.ply,79
24_VID_20230322_152612_60.ply,24
12_VID_20230322_165031_35.ply,12
85_VID_20230321_145403_70.ply,85
80_VID_20230321_152912_50.ply,80
33_VID_20230322_135504_25.ply,33
56_VID_20230322_114611_15.ply,56
79_VID_20230321_152952_90.ply,79
43_VID_20230322_125248_60.ply,43
40_VID_20230322_132128_95.ply,40
26_VID_20230322_151739_45.ply,26
66_VID_20230321_165607_55.ply,66
100_VID_20230321_124832_80.ply,100
40_VID_20230322_132153_70.ply,40
84_VID_20230321_151304_90.ply,84
50_VID_20230322_122005_15.ply,50
100_VID_20230321_130015_50.ply,100
8_VID_20230322_170743_10.ply,8
95_VID_20230321_140220_15.ply,95
21_VID_20230322_153754_80.ply,21
76_VID_20230322_104451_35.ply,76
41_VID_20230322_131634_85.ply,41
12_VID_20230322_165003_85.ply,12
21_VID_20230322_153825_75.ply,21
87_VID_20230321_144149_95.ply,87
32_VID_20230322_144800_15.ply,32
22_VID_20230322_153738_90.ply,22
91_VID_20230321_142038_15.ply,91
21_VID_20230322_153815_40.ply,21
37_VID_20230322_133753_70.ply,37
75_VID_20230321_161349_15.ply,75
97_VID_20230321_134608_10.ply,97
15_VID_20230322_163454_95.ply,15
6_VID_20230322_171159_10.ply,6
96_VID_20230321_140034_10.ply,96
8_VID_20230322_170731_40.ply,8
82_VID_20230321_151814_85.ply,82
55_VID_20230322_114639_70.ply,55
6_VID_20230322_171601_90.ply,6
64_VID_20230322_105201_55.ply,64
47_VID_20230322_123805_80.ply,47
76_VID_20230322_103910_10.ply,76
51_VID_20230322_120705_90.ply,51
90_VID_20230321_143543_70.ply,90
65_VID_20230322_104721_60.ply,65
29_VID_20230322_150455_10.ply,29
68_VID_20230321_164458_20.ply,68
53_VID_20230322_120123_70.ply,53
57_VID_20230322_113511_70.ply,57
43_VID_20230322_125302_85.ply,43
63_VID_20230322_105116_90.ply,63
93_VID_20230321_141016_20.ply,93
68_VID_20230321_164443_10.ply,68
32_VID_20230322_145303_80.ply,32
6_VID_20230322_171641_40.ply,6
29_VID_20230322_150049_60.ply,29
11_VID_20230322_165018_30.ply,11
38_VID_20230322_133227_35.ply,38
28_VID_20230322_150920_80.ply,28
27_VID_20230322_151305_95.ply,27
67_VID_20230321_165522_95.ply,67
47_VID_20230322_123233_10.ply,47
76_VID_20230322_103920_10.ply,76
65_VID_20230322_104745_10.ply,65
67_VID_20230321_165537_70.ply,67
28_VID_20230322_151238_55.ply,28
4_VID_20230322_172036_45.ply,4
60_VID_20230322_111012_45.ply,60
47_VID_20230322_123731_15.ply,47
84_VID_20230321_151314_95.ply,84
78_VID_20230321_154653_10.ply,78
53_VID_20230322_120206_40.ply,53
93_VID_20230321_141427_95.ply,93
90_VID_20230321_143103_30.ply,90
92_VID_20230321_141914_95.ply,92
19_VID_20230322_154154_15.ply,19
48_VID_20230322_123151_95.ply,48
42_VID_20230322_131041_55.ply,42
41_VID_20230322_131225_65.ply,41
17_VID_20230322_155549_85.ply,17
8_VID_20230322_170227_10.ply,8
48_VID_20230322_123700_85.ply,48
28_VID_20230322_150821_90.ply,28
82_VID_20230321_152533_55.ply,82
35_VID_20230322_134745_65.ply,35
77_VID_20230321_154122_15.ply,77
14_VID_20230322_164141_95.ply,14
57_VID_20230322_112836_40.ply,57
23_VID_20230322_152651_15.ply,23
37_VID_20230322_133249_25.ply,37
61_VID_20230322_110940_15.ply,61
59_VID_20230322_112103_85.ply,59
31_VID_20230322_145349_20.ply,31
79_VID_20230321_153541_30.ply,79
81_VID_20230321_152527_35.ply,81
3_VID_20230322_172629_20.ply,3
82_VID_20230321_151858_15.ply,82
96_VID_20230321_135622_55.ply,96
65_VID_20230322_104002_20.ply,65
80_VID_20230321_152923_45.ply,80
35_VID_20230322_134336_75.ply,35
20_VID_20230322_154558_15.ply,20
7_VID_20230322_170813_55.ply,7
3_VID_20230322_172709_95.ply,3
30_VID_20230322_145722_60.ply,30
71_VID_20230321_163434_20.ply,71
