cloud_name,label
17_VID_20230322_155734_15.ply,17
39_VID_20230322_133108_60.ply,39
48_VID_20230322_123523_75.ply,48
21_VID_20230322_154013_10.ply,21
20_VID_20230322_154444_10.ply,20
37_VID_20230322_133539_90.ply,37
48_VID_20230322_124040_45.ply,48
9_VID_20230322_170116_40.ply,9
94_VID_20230321_140847_40.ply,94
24_VID_20230322_153255_25.ply,24
9_VID_20230322_165708_15.ply,9
20_VID_20230322_154501_65.ply,20
79_VID_20230321_153811_10.ply,79
67_VID_20230321_170519_80.ply,67
99_VID_20230321_125338_10.ply,99
86_VID_20230321_145626_25.ply,86
18_VID_20230322_155243_95.ply,18
96_VID_20230321_140333_85.ply,96
25_VID_20230322_152109_10.ply,25
49_VID_20230322_122520_50.ply,49
19_VID_20230322_154918_55.ply,19
23_VID_20230322_153220_10.ply,23
64_VID_20230322_105505_85.ply,64
11_VID_20230322_165135_70.ply,11
30_VID_20230322_150757_22.ply,30
80_VID_20230321_153251_20.ply,80
78_VID_20230321_155018_55.ply,78
57_VID_20230322_113221_80.ply,57
46_VID_20230322_124936_30.ply,46
94_VID_20230321_140901_80.ply,94
77_VID_20230321_154521_30.ply,77
60_VID_20230322_111319_90.ply,60
56_VID_20230322_114439_95.ply,56
85_VID_20230321_145743_70.ply,85
32_VID_20230322_145034_25.ply,32
76_VID_20230322_104910_15.ply,76
94_VID_20230321_141739_85.ply,94
69_VID_20230321_164930_95.ply,69
3_VID_20230322_172938_15.ply,3
82_VID_20230321_152117_70.ply,82
33_VID_20230322_135727_45.ply,33
42_VID_20230322_131351_90.ply,42
11_VID_20230322_164849_45.ply,11
65_VID_20230322_104242_45.ply,65
14_VID_20230322_164034_30.ply,14
34_VID_20230322_140155_90.ply,34
65_VID_20230322_104953_35.ply,65
8_VID_20230322_170509_45.ply,8
66_VID_20230321_165840_10.ply,66
70_VID_20230321_164142_45.ply,70
22_VID_20230322_153627_75.ply,22
54_VID_20230322_120452_55.ply,54
30_VID_20230322_150729_80.ply,30
